WEAPONTYPE,WEAPONTYPE_COMMON_NAME,WEAPON_CLASS,WEAPON_COUNT
100 GP,General Purpose Bomb,BOMB,1
1000 G,Megaboller flash powder bomb,BOMB,2
1000LB GP M-65,An-M65,BOMB,12776
1000LB MK-83,Mark 83 bomb,BOMB,15522
1000LB SAP M59,AN-M59,BOMB,454
100LB FR M-IA2,,BOMB,11858
100LB GP M-30,AN-M30,BOMB,4610
100LB M-28,,BOMB,1639
100LB PWP M-47,M47,BOMB,9970
105 HOWITZER AMMO,Howitzer ammo,GUN,51
105HE HOWITZER AMMO,Howitzer ammo,GUN,103
12.7 MM AMMO,,GUN,19
2.75 IN ANTI-TANK RKT,Hydra 70,ROCKET,5
2.75 IN. ROCKET,Hydra 70,ROCKET,19
2.75IN FLECHET,,ROCKET,5815
2.75IN HE RKT,,ROCKET,45021
2.75IN HEAT RK,,ROCKET,9403
2.75IN PWP RKT,,ROCKET,11086
20 MM AMMO (HNDRDS),,GUN,15002
200/260 M81/88,,BOMB,12147
2000LB M-66,AN-M66,BOMB,5949
2000LB MK-84,Mk-84,BOMB,8403
250LB BLU-10,BLU-10/B,BOMB,5326
250LB M-57,AN-M57,BOMB,15757
250LB MK-81,Mk 81,BOMB,82691
30 CAL,,GUN,394
30 DAY CAN,,SUPPORT,584
3000 LB BLU-34,BLU-34/B,BOMB,13
3000LB M-118,M-118,BOMB,2675
40MM HE XM384,,GUN,1034
40MM MISC METAL,,GUN,124
5.0IN HE RKT,,ROCKET,23509
5.0IN HEAT RKT,,ROCKET,524
5.0IN HVAR RKT,,ROCKET,1124
5.56MM,,GUN,168
5.59 MM AMMO (HNDRDS),,GUN,1
50 CAL,,GUN,16457
50 CALIBAR AMMO,,GUN,19
500BLU11/23/32,BLU-11/B,BOMB,58336
500LB GP M-64,AN-M64,BOMB,41281
500LB GP MK-82,Mk 82,BOMB,408323
500LB IND M-31,,BOMB,1709
500LBINCNDM32,,BOMB,2379
7.62 AMMO,,GUN,11903
7.62MM,,GUN,55385
750 GP,M-117,BOMB,29653
750LB BLU-1/27,BLU-1/B,BOMB,101327
750LB GP M-117,M-117,BOMB,150430
750LB M-35 PHS,,BOMB,3016
900LB M-36 THR,,BOMB,4523
ADU-253,ADU-253/B,BOMB,573
ADU-253 DISPENSER,ADU-253/B,SUPPORT,17
ADU-272,ADU-272/B,SUPPORT,1126
ADU-273 DISPENSER,,SUPPORT,99
ADU-285,ADU-285/B,SUPPORT,12
AERO-70 RKT LAUNCHER,,SUPPORT,1
AGM-12C BULLPUP-B,AGM-12 Bullpup,MISSILE,114
AGM-45A SHRIKE-3,AGM-45 Shrike,MISSILE,8437
AGM-62A WALLEYE,AGM-62�Walleye,MISSILE,35
AGM-62A WALLEYE 1,AGM-62�Walleye I,MISSILE,10
AGM-62A WALLEYE 2,AGM-62A WALLEYE II,MISSILE,2
AGM-65A MAVERICK,AGM-65 Maverick,MISSILE,6
AGM-72 STD AR MISSLE,,MISSILE,2919
AGM-87 A-TO-G FOC MSL,,MISSILE,9
AIM-26B A-TO-A MISSLE,AIM-26B Falcon,MISSILE,1
AIM-4A_D_G FALCON,AIM-4 Falcon,MISSILE,30
AIM-7D_E_F SPARROW,AIM-7 Sparrow,MISSILE,18317
AIM-9C_D_ P SIDEWINDER,AIM-9 Sidewinder,MISSILE,3180
AIR DELIV SEISMIC MO,,SUPPORT,1
ALQ-91,,SUPPORT,1
BATTLEFIELD CASUALTYS,,SUPPORT,4273
BLU10B FIRE BOMB (250),BLU-10/B,BOMB,27
BLU1B FIRE BOMB (750),BLU-1/B,BOMB,596
BLU23B FIRE BOMB (500),BLU-23/B,BOMB,243
BLU-26,BLU-26/B,BOMB,11
BLU27 FIRE BOMB (750),BLU-27/B,BOMB,8633
BLU31,BLU-31/B,BOMB,14
BLU31 LAND MINE(AGO1),BLU-31/B,BOMB,3
BLU32B FIRE BOMB (500),BLU-32/B,BOMB,8108
BLU-33,BLU-33/B,BOMB,3
BLU-42,BLU-42/B,BOMB,7
BLU-43,BLU-43/B,BOMB,1
BLU-52,BLU-52/B,BOMB,347
BLU52_BLU62 TG/F BOMB,,BOMB,99
BLU73B ANTIPERS-PROPN,BLU-73/B,BOMB,1
BLU82B LZ CLR DEVICE,BLU-82/B,BOMB,1
BULLPUP A/B,AGM-12 Bullpup,MISSILE,1626
BULLPUP B,AGM-12 Bullpup,MISSILE,2727
CARGO (TONS),,SUPPORT,42787
CBU 30,CBU-30/A,BOMB,2101
CBU 42/BLU54B,CBU-42/A,BOMB,734
CBU 46,CBU-46/A,BOMB,378
CBU-1,CBU-1/A,BOMB,4570
CBU-10,CBU-10/B,BOMB,5
CBU-11,CBU-11/A,BOMB,3
CBU-12,CBU-12/A,BOMB,3860
CBU12 INCEN SMOKE,CBU-12/A,BOMB,66
CBU-14/25,CBU-14/A,BOMB,26582
CBU15 ANTI-MATERIAL,CBU-15/A,BOMB,872
CBU-18,CBU-18/A,BOMB,2
